,Adelphi University,American University,Andrews University,Ashland University,Auburn University,Azusa Pacific University,Ball State University,Barry University,Baylor University,Benedictine University,Biola University,Boston College,Boston University,Bowie State University,Brandeis University,Brown University,California Institute of Technology,Capella University,Cardinal Stritch University,Carnegie Mellon University,Case Western Reserve University,Central Michigan University,Clark Atlanta University,Clark University,Clarkson University,Clemson University,Cleveland State University,College of William and Mary,Colorado School of Mines,Cornell University,Dartmouth College,DePaul University,Drexel University,Duke University,Duquesne University,East Carolina University,East Tennessee State University,Edgewood College,Emory University,Florida Atlantic University,Florida Institute of Technology,Florida International University,Florida State University,Fordham University,George Mason University,George Washington University,Georgetown University,Georgia Southern University,Georgia State University,Harvard University,Hofstra University,Howard University,Idaho State University,Illinois Institute of Technology,Illinois State University,Immaculata University,Indiana State University,Iowa State University,Jackson State University,Johns Hopkins University,Kansas State University,Lamar University,Lehigh University,Louisiana Tech University,Loyola University Chicago,Lynn University,Marquette University,Massachusetts Institute of Technology,Michigan State University,Michigan Technological University,Middle Tennessee State University,Mississippi State University,Montana State University,Morgan State University,New Jersey Institute of Technology,New York University,Northcentral University,Northeastern University,Northern Arizona University,Northern Illinois University,Northwestern University,Nova Southeastern University,Oakland University,Old Dominion University,Oregon State University,Our Lady of the Lake University,Pepperdine University,Portland State University,Princeton University,Regent University,Rensselaer Polytechnic Institute,Rice University,Saint Louis University,Sam Houston State University,San Diego State University,Seton Hall University,South Carolina State University,South Dakota State University,Southern Methodist University,Spalding University,Stanford University,Stevens Institute of Technology,SUNY College of Environmental Science and Forestry,Syracuse University,Temple University,Tennessee State University,Texas Christian University,Texas Southern University,Texas Tech University,Texas Woman's University,Trevecca Nazarene University,Trident University International,Tufts University,University of Arizona,University of Arkansas,University of Central Florida,University of Chicago,University of Connecticut,University of Dayton,University of Delaware,University of Denver,University of Florida,University of Georgia,University of Houston,University of Idaho,University of Iowa,University of Kansas,University of Kentucky,University of La Verne,University of Louisville,University of Maine,University of Memphis,University of Miami,University of Mississippi,University of New Orleans,University of North Dakota,University of North Texas,University of Northern Colorado,University of Notre Dame,University of Oregon,University of Pennsylvania,University of Rhode Island,University of Rochester,University of San Diego,University of San Francisco,University of South Alabama,University of South Dakota,University of Southern California,University of Southern Mississippi,University of the Pacific,University of Toledo,University of Tulsa,University of Utah,University of Vermont,University of Wyoming,Utah State University,Vanderbilt University,Virginia Commonwealth University,Wake Forest University,Walden University,Washington State University,Wayne State University,West Virginia University,Western Michigan University,Wichita State University,Wilmington University,Worcester Polytechnic Institute,Yale University,Yeshiva University,University of California-Berkeley,University of California-Davis,University of California-Irvine,University of California-Los Angeles,University of California-Riverside,University of California-San Diego,University of California-San Francisco,University of California-Santa Barbara,University of California-Santa Cruz,University of Illinois at Chicago,University of Illinois at Urbana-Champaign
City,Garden City,Washington,Berrien Springs,Ashland,Auburn,Azusa,Muncie,Miami,Waco,Lisle,La Mirada,Chestnut Hill,Boston,Bowie,Waltham,Providence,Pasadena,Minneapolis,Milwaukee,Pittsburgh,Cleveland,Mount Pleasant,Atlanta,Worcester,Potsdam,Clemson,Cleveland,Williamsburg,Golden,Ithaca,Hanover,Chicago,Philadelphia,Durham,Pittsburgh,Greenville,Johnson City,Madison,Atlanta,Boca Raton,Melbourne,Miami,Tallahassee,Bronx,Fairfax,Washington,Washington,Statesboro,Atlanta,Cambridge,Hempstead,Washington,Pocatello,Chicago,Normal,Immaculata,Terre Haute,Ames,Jackson,Baltimore,Manhattan,Beaumont,Bethlehem,Ruston,Chicago,Boca Raton,Milwaukee,Cambridge,East Lansing,Houghton,Murfreesboro,Mississippi State,Bozeman,Baltimore,Newark,New York,Prescott Valley,Boston,Flagstaff,Dekalb,Evanston,Fort Lauderdale,Rochester Hills,Norfolk,Corvallis,San Antonio,Malibu,Portland,Princeton,Virginia Beach,Troy,Houston,Saint Louis,Huntsville,San Diego,South Orange,Orangeburg,Brookings,Dallas,Louisville,Stanford,Hoboken,Syracuse,Syracuse,Philadelphia,Nashville,Fort Worth,Houston,Lubbock,Denton,Nashville,Cypress,Medford,Tucson,Fayetteville,Orlando,Chicago,Storrs,Dayton,Newark,Denver,Gainesville,Athens,Houston,Moscow,Iowa City,Lawrence,Lexington,La Verne,Louisville,Orono,Memphis,Coral Gables,University,New Orleans,Grand Forks,Denton,Greeley,Notre Dame,Eugene,Philadelphia,Kingston,Rochester,San Diego,San Francisco,Mobile,Vermillion,Los Angeles,Hattiesburg,Stockton,Toledo,Tulsa,Salt Lake City,Burlington,Laramie,Logan,Nashville,Richmond,Winston-Salem,Minneapolis,Pullman,Detroit,Morgantown,Kalamazoo,Wichita,New Castle,Worcester,New Haven,New York,Berkeley,Davis,Irvine,Los Angeles,Riverside,La Jolla,San Francisco,Santa Barbara,Santa Cruz,Chicago,Champaign
State,NY,DC,MI,OH,AL,CA,IN,FL,TX,IL,CA,MA,MA,MD,MA,RI,CA,MN,WI,PA,OH,MI,GA,MA,NY,SC,OH,VA,CO,NY,NH,IL,PA,NC,PA,NC,TN,WI,GA,FL,FL,FL,FL,NY,VA,DC,DC,GA,GA,MA,NY,DC,ID,IL,IL,PA,IN,IA,MS,MD,KS,TX,PA,LA,IL,FL,WI,MA,MI,MI,TN,MS,MT,MD,NJ,NY,AZ,MA,AZ,IL,IL,FL,MI,VA,OR,TX,CA,OR,NJ,VA,NY,TX,MO,TX,CA,NJ,SC,SD,TX,KY,CA,NJ,NY,NY,PA,TN,TX,TX,TX,TX,TN,CA,MA,AZ,AR,FL,IL,CT,OH,DE,CO,FL,GA,TX,ID,IA,KS,KY,CA,KY,ME,TN,FL,MS,LA,ND,TX,CO,IN,OR,PA,RI,NY,CA,CA,AL,SD,CA,MS,CA,OH,OK,UT,VT,WY,UT,TN,VA,NC,MN,WA,MI,WV,MI,KS,DE,MA,CT,NY,CA,CA,CA,CA,CA,CA,CA,CA,CA,IL,IL
zip,11530-0701,20016-8001,49104,44805,36849,91702-7000,47306,33161-6695,76798,60532-0900,90639-0001,2467,2215,20715-9465,02454-9110,2912,91125,55402-3389,53217-3985,15213-3890,44106,48859,30314-4391,01610-1477,13699,29634,44115-2214,23187-8795,80401,14853,03755-3529,60604,19104,27708,15282,27858-4353,37614,53711-1997,30322,33431-0991,32901-6975,33199,32306-1037,10458,22030-4444,20052,20057-0001,30460-8126,30303-3083,2138,11549,20059-0001,83209,60616,61790-1000,19345-0702,47809,50011-2030,39217,21218-2688,66506,77705,18015,71272,60660,33431-5598,53233,02139-4307,48824-1046,49931-1295,37132,39762,59717,21251-0001,7102,10012-1091,86314,02115-5005,86011-4092,60115-2828,60208,33314-7796,48309-4401,23529,97331,78207-4689,90263,97201,08544-0070,23464,12180-3590,77005-1827,63103-2097,77340,92182,07079-2697,29117-0001,57007-1898,75275-0221,40203-2188,94305,07030-5991,13210,13244,19122-6096,37209-1561,76129,77004,79409-5005,76201,37210,90630-5041,02155-5555,85721-0066,72701,32816,60637,6269,45469,19716,80208,32611,30602,77204-2018,83844-2282,52242-1316,66045,40506-0032,91750-4401,40292-0001,4469,38152,33146,38677-1848,70148,58202-8193,76203-1277,80639,46556,97403,19104-6303,2881,14627-0011,92110-2492,94117-1080,36688-0002,57069-2390,90089,39406-0001,95211-0197,43606-3390,74104-3189,84112-9008,05405-0160,82071,84322-1400,37240,23284-2512,27106,55401,99164-5910,48202,26506-6201,49008-5200,67260-0124,19720,01609-2280,6520,10033-3299,94720,95616-8678,92697,90095-1405,92521,92093,94143-0244,93106,95064-1011,60607,61820-5711
url,www.adelphi.edu/,WWW.AMERICAN.EDU,www.andrews.edu,https://www.ashland.edu,www.auburn.edu,www.apu.edu,www.bsu.edu,www.barry.edu,www.baylor.edu,www.ben.edu,www.biola.edu,www.bc.edu,www.bu.edu,www.bowiestate.edu,www.brandeis.edu/,www.brown.edu,www.caltech.edu,www.capella.edu,www.stritch.edu,www.cmu.edu/,www.case.edu,www.cmich.edu,www.cau.edu,www.clarku.edu,www.clarkson.edu,www.clemson.edu,www.csuohio.edu/,www.wm.edu,www.mines.edu,www.cornell.edu,www.dartmouth.edu,www.depaul.edu,www.drexel.edu,WWW.DUKE.EDU,www.duq.edu,www.ecu.edu,www.etsu.edu,www.edgewood.edu,www.emory.edu,www.fau.edu/,www.fit.edu,www.fiu.edu,www.fsu.edu,www.fordham.edu,www.gmu.edu,www.gwu.edu,www.georgetown.edu,www.georgiasouthern.edu,www.gsu.edu,www.harvard.edu,www.hofstra.edu,www.howard.edu,www.isu.edu/,www.iit.edu,illinoisstate.edu/,www.immaculata.edu,www.indstate.edu,www.iastate.edu,www.jsums.edu,www.jhu.edu,www.k-state.edu,www.lamar.edu,www.lehigh.edu,www.latech.edu,www.luc.edu,www.lynn.edu,www.marquette.edu,web.mit.edu/student/,www.msu.edu,www.mtu.edu,www.mtsu.edu,www.msstate.edu,www.montana.edu/,www.morgan.edu,www.njit.edu/,www.nyu.edu,www.ncu.edu,www.northeastern.edu,nau.edu/,www.niu.edu,www.northwestern.edu,www.nova.edu,www.oakland.edu,www.odu.edu,oregonstate.edu,www.ollusa.edu,www.pepperdine.edu/,www.pdx.edu,www.princeton.edu,www.regent.edu,www.rpi.edu,www.rice.edu,www.slu.edu,www.shsu.edu/,www.sdsu.edu,www.shu.edu,www.scsu.edu,www.sdstate.edu/,www.smu.edu,www.spalding.edu,www.stanford.edu/,www.stevens.edu,www.esf.edu,syr.edu/,www.temple.edu,www.tnstate.edu,www.tcu.edu/,www.tsu.edu,www.ttu.edu,www.twu.edu,www.trevecca.edu,www.trident.edu/,www.tufts.edu,www.arizona.edu,www.uark.edu,www.ucf.edu/,WWW.UCHICAGO.EDU,uconn.edu/,https://www.udayton.edu,www.udel.edu/,www.du.edu,www.ufl.edu/,www.uga.edu,www.uh.edu/,www.uidaho.edu,www.uiowa.edu,www.ku.edu,www.uky.edu,www.laverne.edu/,www.louisville.edu,www.umaine.edu/,www.memphis.edu,www.miami.edu/,www.olemiss.edu,www.uno.edu,und.edu,www.unt.edu,www.unco.edu,www.nd.edu,www.uoregon.edu,www.upenn.edu,www.uri.edu/,www.rochester.edu,www.sandiego.edu,https://www.usfca.edu,www.southalabama.edu,WWW.USD.EDU,www.usc.edu/,www.usm.edu,www.pacific.edu,www.utoledo.edu/,www.utulsa.edu,www.utah.edu,www.uvm.edu,www.uwyo.edu,www.usu.edu,www.vanderbilt.edu,www.vcu.edu/,www.wfu.edu,www.waldenu.edu,wsu.edu/,www.wayne.edu,www.wvu.edu/,www.wmich.edu,www.wichita.edu,www.wilmu.edu,www.wpi.edu,www.yale.edu,www.yu.edu,www.berkeley.edu,www.ucdavis.edu,www.uci.edu/,www.ucla.edu/,WWW.UCR.EDU,www.ucsd.edu,www.ucsf.edu,www.ucsb.edu,www.ucsc.edu/,www.uic.edu,www.illinois.edu/
LATITUDE,40.721439,38.937802,41.962914,40.860987,32.604685,34.130865,40.198942,25.878865,31.545956,41.776395,33.904823,42.337688,42.349581,39.018185,42.364947,41.827605,34.139275,44.976186,43.139752,40.444616,41.500812,43.591137,33.748772,42.251064,44.663761,34.677329,41.502918,37.271997,39.75079,42.447199,43.70408,41.923332,39.954855,36.00159,40.437496,35.606347,36.304077,43.058727,33.798836,26.372536,28.064503,25.757111,30.4421,40.861183,38.83088,38.89865,38.908809,32.427756,33.7527,42.374429,40.715959,38.920739,42.864108,41.833801,40.509724,40.027963,39.46873,42.026368,32.296781,39.32838,39.188616,30.044274,40.607158,32.525518,41.999161,26.382777,43.03903,42.360095,42.73212,47.1183,35.849139,33.454809,45.666829,39.344235,40.741997,40.729452,34.598901,42.339992,35.180095,41.933791,42.058377,26.079337,42.67449,36.884919,44.56274,29.425611,34.041912,45.511229,40.34853,36.800929,42.728983,29.716485,38.636516,30.7247,32.77525,40.742859,33.497439,44.31942,32.845254,38.2415,37.426967,40.744776,43.034355,43.040005,39.980943,36.16899,32.709568,29.722468,33.580309,33.227002,36.142115,33.805244,42.406994,32.232071,36.06153,28.60106,41.78917,41.806261,39.73686,39.6795744,39.695954,29.649428,33.956428,29.719988,46.726894,41.660695,38.958551,38.035818,34.10086,38.215752,44.895129,35.118874,25.720406,34.362144,30.028539,47.919774,33.210958,40.403178,41.703058,44.044515,39.951002,41.484691,43.126437,32.77142,37.775564,30.695081,42.784558,34.021058,31.327499,37.980624,41.65795,36.151887,40.762484,44.479262,41.311943,41.740748,36.14443,37.547631,36.135301,44.98137,46.730448,42.35861,39.63468,42.282589,37.716484,39.682299,42.275067,41.311158,40.8508,37.871969,38.539895,33.648434,34.068892,33.97588,32.876598,37.762736,34.416281,36.997258,41.872651,40.108864
LONGITUDE,-73.653321,-77.090106,-86.356866,-82.320621,-85.482782,-117.88795,-85.408863,-80.196136,-97.119359,-88.095948,-118.017342,-71.171488,-71.09984,-76.759721,-71.254716,-71.404467,-118.12574,-93.268714,-87.909045,-79.942914,-81.605769,-84.775275,-84.412818,-71.823537,-74.999947,-82.834463,-81.673052,-76.709417,-105.227148,-76.483489,-72.289951,-87.654116,-75.188745,-78.94226,-79.993046,-77.366199,-82.366734,-89.422122,-84.325782,-80.102293,-80.624628,-80.377591,-84.294801,-73.889578,-77.30794,-77.047871,-77.073463,-81.782201,-84.38667,-71.118177,-73.60078,-77.019478,-112.429084,-87.628346,-88.99234,-75.57063,-87.407085,-93.648353,-90.20663,-76.620799,-96.581077,-94.073389,-75.378887,-92.64964,-87.657399,-80.123851,-87.927961,-71.092115,-84.476111,-88.546403,-86.362094,-88.788979,-111.049918,-76.584238,-74.177113,-73.997264,-112.286177,-71.088782,-111.657653,-88.766065,-87.673653,-80.24248,-83.220523,-76.309653,-123.274721,-98.54395,-118.707677,-122.683553,-74.663603,-76.192844,-73.678768,-95.403625,-90.23343,-95.5519,-117.071228,-74.248753,-80.851185,-96.783415,-96.784855,-85.758851,-122.168826,-74.025334,-76.139236,-76.136633,-75.158267,-86.82937,-97.361537,-95.361961,-101.876917,-97.129088,-86.753566,-118.034759,-71.121689,-110.950769,-94.178214,-81.198805,-87.601196,-72.247969,-84.173662,-75.7529169,-104.964625,-82.339958,-83.374049,-95.344851,-117.024296,-91.535698,-95.247618,-84.505653,-117.772634,-85.758843,-68.67358,-89.938062,-80.27645,-89.539377,-90.068506,-97.073451,-97.151211,-104.701721,-86.238959,-123.07398,-75.193618,-71.527356,-77.631042,-117.188721,-122.450977,-88.18189,-96.924664,-118.283858,-89.33791,-121.307296,-83.615225,-95.945175,-111.846044,-73.198128,-105.57204,-111.81391,-86.804875,-77.453597,-80.279004,-93.265741,-117.158168,-83.072864,-79.953926,-85.61512,-97.296733,-75.586998,-71.808792,-72.926688,-73.928541,-122.260423,-121.751958,-117.841248,-118.443901,-117.331098,-117.237793,-122.458049,-119.846404,-122.067993,-87.651145,-88.230309
Admission rate,0.7242,0.4584,0.3688,0.7257,0.8347,0.8183,0.5988,0.4611,0.5536,0.7717,0.754,0.3391,0.3451,0.5506,0.3522,0.0874,0.0883,0.6811,0.8298,0.246,0.3831,0.6927,0.8467,0.5403,0.6214,0.5152,0.8421,0.3302,0.3647,0.1419,0.115,0.6988,0.7601,0.1141,0.7306,0.7728,0.9174,0.7622,0.2682,0.6603,0.6157,0.5278,0.5539,0.4812,0.6665,0.4379,0.1735,0.631,0.5944,0.0596,0.6161,0.4841,0.1994,0.506,0.7388,0.7594,0.8254,0.8691,0.7047,0.1608,0.9493,0.7881,0.3427,0.6503,0.6334,0.7487,0.6671,0.0788,0.6609,0.755,0.7206,0.7102,0.8385,0.6525,0.6339,0.3545,0.53,0.3222,0.8099,0.5089,0.1311,0.4881,0.67,0.8189,0.7776,0.4952,0.3546,0.6933,0.0744,0.7982,0.375,0.151,0.6108,0.7367,0.3448,0.7554,0.8454,0.9201,0.524,0.4571,0.0509,0.4378,0.5113,0.5323,0.6173,0.6821,0.4887,0.5192,0.6613,0.8531,0.7308,0.9351,0.1724,0.7462,0.6204,0.4961,0.0876,0.4996,0.5901,0.6783,0.7649,0.4561,0.5572,0.6299,0.6748,0.8095,0.9142,0.7221,0.4656,0.7386,0.8257,0.474,0.3818,0.8122,0.4357,0.86,0.6538,0.7088,0.2114,0.749,0.1037,0.7681,0.3641,0.4625,0.6005,0.8335,0.8882,0.1802,0.6674,0.549,0.9473,0.4026,0.8142,0.7344,0.9766,0.9783,0.1309,0.7535,0.3441,0.8813,0.8208,0.7733,0.8579,0.8406,0.9553,1,0.4378,0.063,0.818,0.1602,0.4037,0.3742,0.1856,0.5829,0.3329,0.43,0.3634,0.5572,0.7448,0.5904
SATVR25,500,590,460,450,520,490,500,430,560,200,490,630,570,410,590,660,730,200,435,640,610,450,390,200,520,560,440,640,590,650,680,200,530,670,520,470,410,320,630,480,510,500,570,570,520,590,660,520,480,700,520,500,200,520,200,440,410,460,410,670,200,420,590,470,520,440,540,680,430,530,480,490,510,400,490,610,200,660,200,450,690,510,200,460,480,410,550,450,690,490,620,680,530,450,490,510,360,430,600,460,680,595,530,520,500,200,530,360,490,410,470,200,680,200,500,540,720,550,510,530,550,580,570,500,450,460,200,490,460,500,480,450,600,480,500,465,490,480,660,490,670,480,200,560,510,450,400,620,450,508,440,560,500,540,470,470,710,500,200,200,450,200,460,200,200,200,200,710,560,600,510,480,580,490,560,200,530,480,0.744794344,0.590419295
SATVR75,600,680,620,560,630,540,600,510,660,200,620,720,680,480,710,770,800,200,495,740,710,588,470,200,620,660,590,730,680,740,780,200,630,760,620,550,600,400,710,570,610,590,640,670,620,690,760,590,590,800,610,610,200,640,200,530,510,630,520,740,200,530,670,570,630,540,640,770,580,673,600,630,630,480,610,710,200,740,200,550,770,610,200,560,610,510,650,590,800,610,720,760,650,550,600,600,450,560,690,520,780,680,640,620,610,200,630,440,590,530,590,200,760,200,610,640,800,650,610,640,640,670,660,610,580,620,200,620,550,620,590,570,690,590,630,600,600,570,750,610,770,580,200,650,620,570,440,720,560,630,575,710,640,640,600,590,780,610,200,200,570,200,560,200,200,200,200,800,680,730,640,600,710,600,670,200,660,620,460,590
SATMT25,510,560,470,460,530,490,500,410,570,200,490,640,620,400,660,670,770,200,460,700,660,470,380,200,570,590,460,630,640,680,680,200,570,700,520,490,440,550,650,480,530,490,560,580,530,610,660,510,480,710,530,490,200,640,200,430,400,530,400,690,200,440,640,500,530,430,560,740,540,570,470,500,500,400,560,630,200,680,200,480,700,500,200,460,500,430,570,450,710,460,680,710,560,460,510,530,370,460,620,400,700,660,560,550,510,200,550,370,510,430,450,200,680,200,510,550,715,590,530,550,560,590,570,540,460,540,200,510,470,510,480,450,620,490,500,490,500,470,680,500,690,490,200,570,530,450,470,660,460,530,460,570,520,540,470,450,720,500,200,200,460,200,480,200,200,200,200,700,560,640,560,550,610,520,630,200,570,510,590,690
